"Year","group","value","Field"
1982,"Agropyron repens",0,"CDR B (0 N)"
1983,"Agropyron repens",0.345667735635353,"CDR B (0 N)"
1984,"Agropyron repens",0.745621221306938,"CDR B (0 N)"
1985,"Agropyron repens",0.238798562713917,"CDR B (0 N)"
1986,"Agropyron repens",0,"CDR B (0 N)"
1987,"Agropyron repens",0,"CDR B (0 N)"
1988,"Agropyron repens",0.108395873007462,"CDR B (0 N)"
1989,"Agropyron repens",0.59477915450515,"CDR B (0 N)"
1990,"Agropyron repens",0.473778834646725,"CDR B (0 N)"
1991,"Agropyron repens",0.212187604403958,"CDR B (0 N)"
1992,"Agropyron repens",0.382197210377454,"CDR B (0 N)"
1993,"Agropyron repens",0.540767303210374,"CDR B (0 N)"
1994,"Agropyron repens",0.0161973535124391,"CDR B (0 N)"
1995,"Agropyron repens",0.663795122219408,"CDR B (0 N)"
1996,"Agropyron repens",0.0773679052841565,"CDR B (0 N)"
1997,"Agropyron repens",0.651617174094962,"CDR B (0 N)"
1998,"Agropyron repens",0,"CDR B (0 N)"
1999,"Agropyron repens",0.87372738064668,"CDR B (0 N)"
2000,"Agropyron repens",0.484299839346786,"CDR B (0 N)"
2001,"Agropyron repens",0.263636068588108,"CDR B (0 N)"
2002,"Agropyron repens",0.517503799048942,"CDR B (0 N)"
2003,"Agropyron repens",0.11293997608408,"CDR B (0 N)"
2004,"Agropyron repens",0.457374671548647,"CDR B (0 N)"
1982,"Schizachyrium scoparium",1.79094513717729,"CDR B (0 N)"
1983,"Schizachyrium scoparium",1.89945570233685,"CDR B (0 N)"
1984,"Schizachyrium scoparium",1.91698618137991,"CDR B (0 N)"
1985,"Schizachyrium scoparium",1.95530282276169,"CDR B (0 N)"
1986,"Schizachyrium scoparium",1.93615251798744,"CDR B (0 N)"
1987,"Schizachyrium scoparium",2.08797474935668,"CDR B (0 N)"
1988,"Schizachyrium scoparium",1.85335948411084,"CDR B (0 N)"
1989,"Schizachyrium scoparium",1.87519056738645,"CDR B (0 N)"
1990,"Schizachyrium scoparium",1.98800868042089,"CDR B (0 N)"
1991,"Schizachyrium scoparium",1.9102276320949,"CDR B (0 N)"
1992,"Schizachyrium scoparium",1.86476118321922,"CDR B (0 N)"
1993,"Schizachyrium scoparium",2.00079764507823,"CDR B (0 N)"
1994,"Schizachyrium scoparium",1.82563163951305,"CDR B (0 N)"
1995,"Schizachyrium scoparium",2.0092171127643,"CDR B (0 N)"
1996,"Schizachyrium scoparium",1.7802380803808,"CDR B (0 N)"
1997,"Schizachyrium scoparium",1.79703543950397,"CDR B (0 N)"
1998,"Schizachyrium scoparium",1.89101401913842,"CDR B (0 N)"
1999,"Schizachyrium scoparium",1.97002126582837,"CDR B (0 N)"
2000,"Schizachyrium scoparium",1.79618912498592,"CDR B (0 N)"
2001,"Schizachyrium scoparium",1.74758398951067,"CDR B (0 N)"
2002,"Schizachyrium scoparium",1.87296484240973,"CDR B (0 N)"
2003,"Schizachyrium scoparium",1.7800759703824,"CDR B (0 N)"
2004,"Schizachyrium scoparium",1.53675618669958,"CDR B (0 N)"
