"Field","Trt","Plot","Scom","Spop","Asyn","CPE","SAE","Richness","Shannon","Inv.Simpson","Evenness.Shannon","Evenness.Simpson","Nitrogen","Nitrogen_log"
"CDR B","A",1,0.384037182735529,0.271848639164552,0.112188543570977,-0.0642787594966849,0.176467303067662,3.60869565217391,0.81710035276097,1.89922213557222,0.340757314145503,0.172656557779293,0,0
"CDR B","A",11,0.444843710444728,0.36550167301711,0.0793420374276184,-0.0455471426361143,0.124889180063733,3.43478260869565,0.411846110159402,1.24515893987166,0.187439242400383,0.138350993319074,0,0
"CDR B","A",17,0.555370887137936,0.37828316804747,0.177087719090466,0.0155783816757641,0.161509337414702,3.95652173913043,0.668862701931582,1.60583443286962,0.290483380599786,0.160583443286962,0,0
"CDR B","A",33,0.453940347455938,0.277219276852624,0.176721070603314,-0.00449517865826413,0.181216249261578,3.60869565217391,0.694663402656394,1.62184482004672,0.334062482033144,0.20273060250584,0,0
"CDR B","A",34,0.363479713988936,0.222267595141088,0.141212118847848,-0.0106827875925411,0.151894906440389,3.56521739130435,0.601264528091252,1.46136826826226,0.273647279523966,0.16237425202914,0,0
"CDR B","A",54,0.595514851182331,0.281761779268716,0.313753071913615,0.115229876337109,0.198523195576506,3.78260869565217,0.719082614791061,1.64753321428829,0.312293611636319,0.164753321428829,0,0
"CDR B","B",10,0.361711834674268,0.19116845772999,0.170543376944278,0.00296223252113214,0.167581144423146,3.39130434782609,0.699220529171963,1.7022925273419,0.359328270892372,0.243184646763129,1,0.301029995663981
"CDR B","B",13,0.484841081819645,0.298079164735471,0.186761917084174,-0.0321939459982973,0.218955863082471,2.95652173913043,0.805206755058095,2.04682711913824,0.387222597470869,0.255853389892281,1,0.301029995663981
"CDR B","B",26,0.599069709921272,0.256436608868895,0.342633101052377,0.0476376286112327,0.294995472441144,4.34782608695652,1.11131377830662,2.51347209015159,0.48263744158162,0.251347209015159,1,0.301029995663981
"CDR B","B",31,0.536155879461651,0.182655042492713,0.353500836968938,0.0789938806850467,0.274506956283891,4.34782608695652,1.01677067394421,2.15580407838639,0.488963336340215,0.269475509798299,1,0.301029995663981
"CDR B","B",40,0.421504871507512,0.13685245690863,0.284652414598882,0.0659905305892358,0.218661884009646,3.69565217391304,0.830581845850468,1.73944028118381,0.426834633784963,0.248491468740545,1,0.301029995663981
"CDR B","B",49,0.442922787948843,0.140039777153356,0.302883010795487,0.0282263027653486,0.274656708030138,3.78260869565217,1.15814738170809,2.75459676444437,0.595170019679654,0.393513823492053,1,0.301029995663981
"CDR B","C",20,0.543017388787852,0.145172000668336,0.397845388119516,0.104672050429172,0.293173337690344,4.73913043478261,1.22481310806549,2.88915531882369,0.531929574195613,0.288915531882369,2,0.477121254719662
"CDR B","C",23,0.50541913237912,0.225785575782396,0.279633556596724,0.0559305895416068,0.223702967055117,3.91304347826087,0.965952600308187,2.24303679530481,0.439623973931353,0.249226310589423,2,0.477121254719662
"CDR B","C",25,0.483490189419106,0.13689679413462,0.346593395284486,0.0822491139527733,0.264344281331713,4.26086956521739,1.15548330516036,2.74303204973658,0.525883115034694,0.30478133885962,2,0.477121254719662
"CDR B","C",28,0.479455034134708,0.150751160815414,0.328703873319294,0.0785594504458029,0.250144422873491,4.21739130434783,1.07361752160724,2.3967190350781,0.488624391280398,0.266302115008678,2,0.477121254719662
