"Year","group","value","Field"
1982,"Agropyron repens",0.467312062980552,"CDR B (max N)"
1983,"Agropyron repens",1.57267995941651,"CDR B (max N)"
1984,"Agropyron repens",1.64763395369697,"CDR B (max N)"
1985,"Agropyron repens",2.31647567922131,"CDR B (max N)"
1986,"Agropyron repens",2.54261797795504,"CDR B (max N)"
1987,"Agropyron repens",2.44971926425231,"CDR B (max N)"
1988,"Agropyron repens",2.02529869524951,"CDR B (max N)"
1989,"Agropyron repens",2.50665540845467,"CDR B (max N)"
1990,"Agropyron repens",2.29026839930013,"CDR B (max N)"
1991,"Agropyron repens",2.39012814724038,"CDR B (max N)"
1992,"Agropyron repens",2.47593013847553,"CDR B (max N)"
1993,"Agropyron repens",2.66160921018014,"CDR B (max N)"
1994,"Agropyron repens",2.51271329486799,"CDR B (max N)"
1995,"Agropyron repens",2.69554296372554,"CDR B (max N)"
1996,"Agropyron repens",2.53236575995959,"CDR B (max N)"
1997,"Agropyron repens",2.42438883018594,"CDR B (max N)"
1998,"Agropyron repens",2.3240089626434,"CDR B (max N)"
1999,"Agropyron repens",2.43977991840214,"CDR B (max N)"
2000,"Agropyron repens",2.34014324353815,"CDR B (max N)"
2001,"Agropyron repens",2.50248629654236,"CDR B (max N)"
2002,"Agropyron repens",2.47095656858015,"CDR B (max N)"
2003,"Agropyron repens",2.09337498432,"CDR B (max N)"
2004,"Agropyron repens",2.29914505400862,"CDR B (max N)"
1982,"Schizachyrium scoparium",2.41134748523436,"CDR B (max N)"
1983,"Schizachyrium scoparium",2.56412729971928,"CDR B (max N)"
1984,"Schizachyrium scoparium",2.13019058856632,"CDR B (max N)"
1985,"Schizachyrium scoparium",2.03251601670111,"CDR B (max N)"
1986,"Schizachyrium scoparium",1.81557774832427,"CDR B (max N)"
1987,"Schizachyrium scoparium",1.97881938673284,"CDR B (max N)"
1988,"Schizachyrium scoparium",1.40965138833478,"CDR B (max N)"
1989,"Schizachyrium scoparium",1.89871695623732,"CDR B (max N)"
1990,"Schizachyrium scoparium",1.39357520326959,"CDR B (max N)"
1991,"Schizachyrium scoparium",1.20516374847527,"CDR B (max N)"
1992,"Schizachyrium scoparium",0.759932117429851,"CDR B (max N)"
1993,"Schizachyrium scoparium",1.3096301674259,"CDR B (max N)"
1994,"Schizachyrium scoparium",0.324282455297693,"CDR B (max N)"
1995,"Schizachyrium scoparium",0.292329924682375,"CDR B (max N)"
1996,"Schizachyrium scoparium",0.101403350555331,"CDR B (max N)"
1997,"Schizachyrium scoparium",0,"CDR B (max N)"
1998,"Schizachyrium scoparium",0,"CDR B (max N)"
1999,"Schizachyrium scoparium",0,"CDR B (max N)"
2000,"Schizachyrium scoparium",0,"CDR B (max N)"
2001,"Schizachyrium scoparium",0,"CDR B (max N)"
2002,"Schizachyrium scoparium",0,"CDR B (max N)"
2003,"Schizachyrium scoparium",0,"CDR B (max N)"
2004,"Schizachyrium scoparium",0,"CDR B (max N)"
