"Year","group","value","Field"
1982,"Agropyron repens",0.318689269947746,"CDR C (0 N)"
1983,"Agropyron repens",0,"CDR C (0 N)"
1984,"Agropyron repens",0,"CDR C (0 N)"
1985,"Agropyron repens",0.085290578230065,"CDR C (0 N)"
1986,"Agropyron repens",0.135768514567822,"CDR C (0 N)"
1987,"Agropyron repens",0.310551709967831,"CDR C (0 N)"
1988,"Agropyron repens",0.188741045483493,"CDR C (0 N)"
1989,"Agropyron repens",0.548143637434846,"CDR C (0 N)"
1990,"Agropyron repens",0.386231350579525,"CDR C (0 N)"
1991,"Agropyron repens",0.711807229041191,"CDR C (0 N)"
1992,"Agropyron repens",0.221414237842339,"CDR C (0 N)"
1993,"Agropyron repens",0.333581606227454,"CDR C (0 N)"
1994,"Agropyron repens",0.668991270164385,"CDR C (0 N)"
1995,"Agropyron repens",0.945296211848389,"CDR C (0 N)"
1996,"Agropyron repens",0.437221902399778,"CDR C (0 N)"
1997,"Agropyron repens",0.967688350453313,"CDR C (0 N)"
1998,"Agropyron repens",0.801609488027319,"CDR C (0 N)"
1999,"Agropyron repens",0.208172526667122,"CDR C (0 N)"
2000,"Agropyron repens",0.784278425029549,"CDR C (0 N)"
2001,"Agropyron repens",1.12602311790052,"CDR C (0 N)"
2002,"Agropyron repens",1.75140998862392,"CDR C (0 N)"
2003,"Agropyron repens",1.71531377157457,"CDR C (0 N)"
2004,"Agropyron repens",2.05125510033988,"CDR C (0 N)"
1982,"Schizachyrium scoparium",2.02662654134172,"CDR C (0 N)"
1983,"Schizachyrium scoparium",2.084649547777,"CDR C (0 N)"
1984,"Schizachyrium scoparium",1.69638405919708,"CDR C (0 N)"
1985,"Schizachyrium scoparium",1.85860035214729,"CDR C (0 N)"
1986,"Schizachyrium scoparium",1.80187685375758,"CDR C (0 N)"
1987,"Schizachyrium scoparium",2.02532566754912,"CDR C (0 N)"
1988,"Schizachyrium scoparium",1.76371867388996,"CDR C (0 N)"
1989,"Schizachyrium scoparium",1.80708607022409,"CDR C (0 N)"
1990,"Schizachyrium scoparium",2.10973936693285,"CDR C (0 N)"
1991,"Schizachyrium scoparium",2.20727657104313,"CDR C (0 N)"
1992,"Schizachyrium scoparium",1.73687834160161,"CDR C (0 N)"
1993,"Schizachyrium scoparium",2.12500930372819,"CDR C (0 N)"
1994,"Schizachyrium scoparium",1.75375791593911,"CDR C (0 N)"
1995,"Schizachyrium scoparium",1.96102538152709,"CDR C (0 N)"
1996,"Schizachyrium scoparium",1.5916228917923,"CDR C (0 N)"
1997,"Schizachyrium scoparium",1.58514664549268,"CDR C (0 N)"
1998,"Schizachyrium scoparium",2.05222567218632,"CDR C (0 N)"
1999,"Schizachyrium scoparium",1.55988867861234,"CDR C (0 N)"
2000,"Schizachyrium scoparium",1.49708176280948,"CDR C (0 N)"
2001,"Schizachyrium scoparium",1.25002456555999,"CDR C (0 N)"
2002,"Schizachyrium scoparium",1.5030321612862,"CDR C (0 N)"
2003,"Schizachyrium scoparium",1.2058915431854,"CDR C (0 N)"
2004,"Schizachyrium scoparium",1.2565590047007,"CDR C (0 N)"
