"Year","group","value","Field"
1982,"Agropyron repens",0.656385719058688,"CDR C (max N)"
1983,"Agropyron repens",1.31666214768863,"CDR C (max N)"
1984,"Agropyron repens",1.06483221973857,"CDR C (max N)"
1985,"Agropyron repens",2.05795756397019,"CDR C (max N)"
1986,"Agropyron repens",2.21522060275963,"CDR C (max N)"
1987,"Agropyron repens",2.53245285784436,"CDR C (max N)"
1988,"Agropyron repens",2.20163651210271,"CDR C (max N)"
1989,"Agropyron repens",2.52274843738861,"CDR C (max N)"
1990,"Agropyron repens",2.7367230963944,"CDR C (max N)"
1991,"Agropyron repens",2.75280108482237,"CDR C (max N)"
1992,"Agropyron repens",2.72084536013243,"CDR C (max N)"
1993,"Agropyron repens",2.08057838963155,"CDR C (max N)"
1994,"Agropyron repens",1.68660588545794,"CDR C (max N)"
1995,"Agropyron repens",2.26792463500894,"CDR C (max N)"
1996,"Agropyron repens",1.82616942969611,"CDR C (max N)"
1997,"Agropyron repens",2.31351605886735,"CDR C (max N)"
1998,"Agropyron repens",2.37120213399116,"CDR C (max N)"
1999,"Agropyron repens",1.91837532746385,"CDR C (max N)"
2000,"Agropyron repens",2.17112943692618,"CDR C (max N)"
2001,"Agropyron repens",1.8146625971208,"CDR C (max N)"
2002,"Agropyron repens",2.30691230772384,"CDR C (max N)"
2003,"Agropyron repens",2.45423489574827,"CDR C (max N)"
2004,"Agropyron repens",2.32667033005095,"CDR C (max N)"
1982,"Schizachyrium scoparium",2.37613879208048,"CDR C (max N)"
1983,"Schizachyrium scoparium",1.77406662319053,"CDR C (max N)"
1984,"Schizachyrium scoparium",1.05438959456641,"CDR C (max N)"
1985,"Schizachyrium scoparium",0.905903766216617,"CDR C (max N)"
1986,"Schizachyrium scoparium",0.68421679513888,"CDR C (max N)"
1987,"Schizachyrium scoparium",0.0480531731156091,"CDR C (max N)"
1988,"Schizachyrium scoparium",0.161368002234975,"CDR C (max N)"
1989,"Schizachyrium scoparium",0.913813852383717,"CDR C (max N)"
1990,"Schizachyrium scoparium",0.494432898726399,"CDR C (max N)"
1991,"Schizachyrium scoparium",0.102776614883441,"CDR C (max N)"
1992,"Schizachyrium scoparium",0,"CDR C (max N)"
1993,"Schizachyrium scoparium",0.19506899646859,"CDR C (max N)"
1994,"Schizachyrium scoparium",0.176091259055681,"CDR C (max N)"
1995,"Schizachyrium scoparium",0.505149978319906,"CDR C (max N)"
1996,"Schizachyrium scoparium",0,"CDR C (max N)"
1997,"Schizachyrium scoparium",0,"CDR C (max N)"
1998,"Schizachyrium scoparium",0.0851121132668372,"CDR C (max N)"
1999,"Schizachyrium scoparium",0,"CDR C (max N)"
2000,"Schizachyrium scoparium",1.16337012022588,"CDR C (max N)"
2001,"Schizachyrium scoparium",0,"CDR C (max N)"
2002,"Schizachyrium scoparium",0,"CDR C (max N)"
2003,"Schizachyrium scoparium",0,"CDR C (max N)"
2004,"Schizachyrium scoparium",0,"CDR C (max N)"
