"Field","Trt","Plot","WScom","WSpop","WAsyn","WCPE","WSAE","Scom","Spop","Asyn","CPE","SAE","Richness","Nitrogen","Nitrogen_log","Group"
"CDR B","A",1,0.77970518007081,0.602201559631542,0.423371412505045,0.0847414106935769,0.49090820295242,2.83308732471756,1.84165760143646,1.53833553126694,1.05773624466857,1.45436590550886,2.04347826086957,0,0,"Other species"
"CDR B","A",11,0.289160188565224,0.240877625764392,0.291373207299982,0.0488452685225533,0.323591240675076,1.29177605887097,0.992404865377757,1.3016623597258,0.987324656314636,1.31837319305332,2.1304347826087,0,0,"Other species"
"CDR B","A",17,0.852635465191249,0.567120927983307,0.502436308174205,0.115958176137275,0.484733052687488,2.62239074622521,1.69700209025424,1.54530790579777,1.04733278492471,1.47546981059019,2.82608695652174,0,0,"Other species"
"CDR B","A",33,0.684703500097126,0.455807510908784,0.643542388037806,0.248713276863378,0.650237985431019,1.33447497156939,1.06396021897613,1.25425269457309,0.971980091722694,1.29040986050456,2.52173913043478,0,0,"Other species"
"CDR B","A",34,0.427382568335635,0.308748378739002,0.452058495166114,0.123015312049255,0.46331613265692,1.26356324053043,0.945414305683137,1.33651800373108,1.03695465290533,1.28888760948846,2.39130434782609,0,0,"Other species"
"CDR B","A",54,0.971839670815408,0.47189084434758,0.923514758757786,0.45877267618671,0.708294654168517,1.49712796745741,1.05232716813603,1.42268299516514,1.04342940697563,1.36346837232503,2.39130434782609,0,0,"Other species"
"CDR B","B",10,0.611584361992993,0.412964761987384,0.56528859671808,0.2354668613204,0.561446000202384,1.28808905159388,1.0818975750505,1.19058317653937,1.02200827963107,1.16494474679712,1.8695652173913,1,0.301029995663981,"Other species"
"CDR B","B",13,1.31218999205141,0.853561472634932,0.909496312751889,0.473726145050995,0.979478457659618,2.07666037423893,1.4427655985554,1.43936088878071,1.08926219786377,1.32140901575722,1.82608695652174,1,0.301029995663981,"Other species"
"CDR B","B",26,2.16526099905224,0.983732800682635,0.976900266269316,0.412001446356511,0.87541220925553,3.55904397691339,2.21646064988922,1.60573298564596,1.05504861394242,1.52195165646991,2.65217391304348,1,0.301029995663981,"Other species"
"CDR B","B",31,1.14354019614448,0.506699642599823,1.14743601885475,0.56569470031939,0.956609298236945,1.90323116470907,0.99660475822072,1.90971510923447,1.25178908564029,1.52558856051829,2.52173913043478,1,0.301029995663981,"Other species"
"CDR B","B",40,0.632505832534391,0.328406784104395,0.821827686175416,0.329102889714492,0.705976487803286,0.9474634228578,0.769633152027182,1.23105848593219,0.859337503992626,1.43256692534945,2.21739130434783,1,0.301029995663981,"Other species"
"CDR B","B",49,1.42644671196046,0.710186710914772,1.27869190994782,0.621125067323304,1.19822841611791,1.99300751215195,1.11555152641786,1.78656697154248,1.1011409449878,1.62246893068014,2.56521739130435,1,0.301029995663981,"Other species"
"CDR B","C",20,1.35282702102216,0.541248718436198,1.09780212619511,0.560465506278959,0.862684543865714,2.12170177133238,1.23230497440459,1.7217343234028,1.17413089112646,1.46639044796017,2.78260869565217,2,0.477121254719662,"Other species"
"CDR B","C",23,1.17083246531969,0.614980293798533,0.722326140403347,0.35842126217538,0.635042428495087,1.89469317966322,1.62091941552316,1.16890029295608,0.968815365179206,1.20652534524972,2.21739130434783,2,0.477121254719662,"Other species"
"CDR B","C",25,1.32292723358508,0.595583368346863,0.91777035263173,0.524156395663293,0.759425035777196,1.80096461601013,1.44145780019103,1.24940502300619,0.985597669751068,1.26766231430088,2.26086956521739,2,0.477121254719662,"Other species"
"CDR B","C",28,1.20392542746515,0.564801333909967,1.01867957546736,0.581615208208173,0.850115917979411,1.52513029542682,1.18184899006422,1.29046122495222,0.966107020432467,1.33573320311301,2.52173913043478,2,0.477121254719662,"Other species"
"CDR B","C",43,1.36308822700678,0.468734701466186,0.883972256730451,0.405979049349418,0.55017024486727,2.48993163968291,1.54200340183575,1.61473809767129,1.1638989279436,1.38735250879923,2.30434782608696,2,0.477121254719662,"Other species"
"CDR B","C",48,0.785760232105307,0.328555553823247,0.811537376832002,0.375570318433229,0.568220300520271,1.25650715216331,0.968236651246647,1.29772731753699,0.97998753364426,1.3242283937135,2.47826086956522,2,0.477121254719662,"Other species"
"CDR B","D",2,0.640990124599391,0.30201482118851,0.505417418880969,0.180964062376744,0.413248794238706,1.47952368992364,1.26823908447514,1.16659682549993,0.981898854275996,1.18810284829196,1.39130434782609,3.4,0.643452676486187,"Other species"
"CDR B","D",14,1.2025441804853,0.472245522888968,1.16029128723785,0.569812355572482,0.92504320778351,1.67217354645853,1.03641576362091,1.61341963828926,1.04965417796643,1.53709638103385,2.04347826086957,3.4,0.643452676486187,"Other species"
"CDR B","D",24,0.977508257582403,0.364805745987972,0.64977206172415,0.333731296786967,0.403015769750019,1.70354827220075,1.50438640742511,1.1323874396848,1.00677512711131,1.12476700028725,1.82608695652174,3.4,0.643452676486187,"Other species"
"CDR B","D",36,0.783245565702147,0.317110405286316,0.581470891769381,0.18009301421689,0.393114927282328,1.7899481315812,1.34700735116556,1.3288332317061,0.969819550969923,1.37018606232173,2.39130434782609,3.4,0.643452676486187,"Other species"
"CDR B","D",38,0.985958880434521,0.350908338364438,0.804061211460727,0.327068372220035,0.523403758919875,1.87244052630802,1.22622365857363,1.52699755319195,1.08609672467547,1.40594987398403,2.08695652173913,3.4,0.643452676486187,"Other species"
"CDR B","D",41,0.61533200525045,0.225677111116297,0.77769683868704,0.260767275072114,0.512959938390956,1.19771071720686,0.791223487920171,1.51374514974927,0.993960155719298,1.52294349128494,2.1304347826087,3.4,0.643452676486187,"Other species"
"CDR B","E",5,0.800597741380561,0.341633918105761,0.625016845350679,0.323846709571444,0.461765639508908,1.36979382345581,1.28092186208416,1.06938125111476,0.973667306034067,1.09830251512764,1.39130434782609,5.4,0.806179973983887,"Other species"
"CDR B","E",9,0.458954114699503,0.218022606175863,0.387017905986154,0.124861442865278,0.295671077407232,1.27109853619439,1.18587307615664,1.07186726956814,0.978642619895514,1.0952591352322,1.82608695652174,5.4,0.806179973983887,"Other species"
"CDR B","E",27,1.09843744370922,0.367629887344775,1.12648248081981,0.686222207607997,0.722304828998403,1.34222302599245,0.975103885246241,1.37649233717646,1.01223591049886,1.35985329397974,1.82608695652174,5.4,0.806179973983887,"Other species"
"CDR B","E",30,0.604066036142882,0.188339298496384,0.740637797579383,0.403708842739112,0.392710053559684,0.989670812719237,0.815602495736976,1.21342298226414,1.04097542114627,1.16565958966445,1.65217391304348,5.4,0.806179973983887,"Other species"
"CDR B","E",45,0.276486471046498,0.104094053150782,0.369074462990566,0.0722419453448998,0.224941466493799,1.19343113505724,0.74913465647599,1.59307959489055,1.16016081949238,1.37315410771034,1.91304347826087,5.4,0.806179973983887,"Other species"
"CDR B","E",46,0.361606996108719,0.133065837528359,0.518833377608218,0.149257704784835,0.311083290777708,0.932131044626727,0.69696170623351,1.33742074534354,0.995883478500264,1.34294902387337,1.47826086956522,5.4,0.806179973983887,"Other species"
"CDR B","F",7,0.399334244965418,0.184132929600076,0.314309710932576,0.0906459955560482,0.229035824173274,1.34167937283505,1.27051195389595,1.05601475745338,1.01154800924676,1.04395910802072,1.17391304347826,9.5,1.02118929906994,"Other species"
"CDR B","F",16,0.432341493740258,0.159138385483913,0.468312192780205,0.172482493108181,0.278679025085176,1.06252745575248,0.923190769758948,1.15092946177301,1.02067094676397,1.12762047888404,1.39130434782609,9.5,1.02118929906994,"Other species"
"CDR B","F",19,0.546562388207508,0.184629423679209,0.737053302799093,0.230179147831899,0.448260591959064,1.22427949399778,0.741550694002508,1.65097208309489,1.07466677446463,1.53626419121161,1.65217391304348,9.5,1.02118929906994,"Other species"
"CDR B","F",29,0.752319001298083,0.358856796796559,0.635274108362394,0.375842373561833,0.508098468231296,1.20765666939572,1.18424313441233,1.01977088513585,0.984111539500868,1.03623506503447,1.30434782608696,9.5,1.02118929906994,"Other species"
"CDR B","F",32,0.549014608886542,0.218226662255864,0.706356684843107,0.257223377881948,0.511390609417872,1.19578016307509,0.777248408158672,1.53847875469817,1.10464482487289,1.39273612663256,1.52173913043478,9.5,1.02118929906994,"Other species"
"CDR B","F",51,0.235407377964422,0.115933004607713,0.360393135516345,0.0631140447046621,0.298149295669957,0.961096390916706,0.653196064978172,1.47137504716723,1.02567526647777,1.43454277904157,1.69565217391304,9.5,1.02118929906994,"Other species"
"CDR B","G",8,0.389315528156217,0.154115122065952,0.548119563478559,0.177858645548415,0.374944052444823,0.929362831964525,0.710274827056863,1.30845525782673,1.00674866839139,1.29968412068269,1.52173913043478,17,1.25527250510331,"Other species"
"CDR B","G",15,0.120955363912831,0.0443496580032841,0.252144630204292,0.0306915163591289,0.143345936349628,0.729294501510593,0.479706285296779,1.52029382116476,1.0562992702192,1.4392642918794,1.26086956521739,17,1.25527250510331,"Other species"
"CDR B","G",18,0.475984851366315,0.161445095567597,0.825632254759243,0.400023106733955,0.506753866296436,0.798240167176587,0.57650951573484,1.38460883192729,1.06067659463643,1.30540151345746,1.52173913043478,17,1.25527250510331,"Other species"
"CDR B","G",42,0.196171730294543,0.0693641701947694,0.440317198607709,0.0560694521044435,0.256445211038958,1.06946935995916,0.445523660930897,2.40047713229095,1.29090736950072,1.85952701875067,1.47826086956522,17,1.25527250510331,"Other species"
"CDR B","G",50,0.298812796794556,0.118153247440176,0.679030366896942,0.158798398756502,0.47774612825056,0.718350017511888,0.440058075988681,1.63239821448105,0.957987789797494,1.7039864514621,2.04347826086957,17,1.25527250510331,"Other species"
"CDR B","G",53,0.128384939161712,0.0646357276024613,0.271099247412863,0.0359610920379573,0.218714052862469,0.647108372140325,0.473571728386953,1.36644215300702,0.955827177387525,1.4295912329484,1.30434782608696,17,1.25527250510331,"Other species"
"CDR B","H",3,0.288157994807551,0.114538974378115,0.534037602737635,0.192754314795422,0.351700368218261,0.595944256424032,0.539583717195883,1.10445189028506,0.907981540653708,1.21638143600353,1.04347826086957,27.2,1.45024910831936,"Other species"
"CDR B","H",4,0.146801873789208,0.0731673357458437,0.244018239597822,0.0581603800168709,0.192213901876405,0.608684486446831,0.601602052498859,1.0117726226474,0.999940714338351,1.01183260981315,0.956521739130435,27.2,1.45024910831936,"Other species"
"CDR B","H",22,0.259414985464052,0.121161968555006,0.46480564394268,0.157785538451879,0.341851658634072,0.595805345476476,0.558114964490498,1.06753157213834,0.912311046278416,1.17013991718407,1.39130434782609,27.2,1.45024910831936,"Other species"
"CDR B","H",39,0.0844145247047726,0.0316269579048573,0.190561715429185,0.0129496544330851,0.10844057302802,0.72066007701215,0.442977355208276,1.62685534269199,0.97149903570927,1.67458256044923,1.34782608695652,27.2,1.45024910831936,"Other species"
"CDR B","H",44,0.228018646292729,0.0901629445773979,0.801294595242158,0.314553206710302,0.561240345607527,0.422356953689837,0.284562815781654,1.48423100372296,1.03885837254678,1.42871352144407,1.43478260869565,27.2,1.45024910831936,"Other species"
"CDR B","H",47,0.0863996398046504,0.0425863542650311,0.289638380307232,0.049214600594649,0.218092413399383,0.403685279110109,0.298301764127401,1.35327821573894,1.03652066052741,1.30559695264575,0.739130434782609,27.2,1.45024910831936,"Other species"
"CDR C","A",8,1.18290288539275,0.71196915369338,0.657718112039406,0.271921322326322,0.594814953668351,2.10193213150792,1.79849522727129,1.16871710285104,0.926597725378357,1.26129934365403,1.8695652173913,0,0,"Other species"
"CDR C","A",26,0.773346833623167,0.566267783007621,0.632895088423962,0.189647036545612,0.743104624007355,1.46173233650691,1.22191947412478,1.19625913774219,0.823126480075643,1.45331144933189,2.73913043478261,0,0,"Other species"
"CDR C","A",39,0.932446495174424,0.35509818570906,0.669857081401485,0.396419108822415,0.438467442085347,1.50381870820832,1.39200811794591,1.0803232314675,1.01542734105467,1.06390993012402,1.8695652173913,0,0,"Other species"
"CDR C","A",41,1.17769410638441,0.409085222621317,1.05679715609996,0.878601300926635,0.653845437324809,1.28736129331321,1.11439939025822,1.15520638701616,1.02462244819802,1.12744590853714,2.1304347826087,0,0,"Other species"
"CDR C","A",43,1.15941261916811,0.711191527464041,0.710618933090175,0.204871394866484,0.693398562967322,2.32400016214845,1.63155323504585,1.42440964366274,0.907274684932393,1.56998720158149,3.39130434782609,0,0,"Other species"
"CDR C","A",47,1.53448408816624,0.602367030104654,1.22382794516008,1.12699898475732,0.748573700206045,1.47402436395602,1.25383972006419,1.17560828578677,1.01977423468457,1.15281230472586,2.08695652173913,0,0,"Other species"
"CDR C","B",4,2.30473139684412,0.979709038549705,1.17858901089191,0.547435724136162,1.05913209399589,2.90791893087093,1.95550049724287,1.487045866248,0.93353056963827,1.59292680348348,3.04347826086957,1,0.301029995663981,"Other species"
"CDR C","B",11,2.20002333192303,1.09005643034251,1.0782753146994,0.548643529955793,1.08239481661004,3.04047309570503,2.04031688561502,1.49019650679827,1.02366772129,1.45574240137255,2.73913043478261,1,0.301029995663981,"Other species"
"CDR C","B",17,1.65549027528932,0.938526721372727,0.773830904770952,0.290310771926616,0.8365485516915,2.64043874030585,2.13934370555973,1.23422839137249,0.859371679344651,1.4361985867555,2.60869565217391,1,0.301029995663981,"Other species"
"CDR C","B",27,1.46935260226863,0.799942086878087,0.910616076199506,0.733147429680236,0.727467075520464,1.68609945004849,1.61358078412258,1.04494269307089,0.982545833709486,1.06350529127565,1.73913043478261,1,0.301029995663981,"Other species"
"CDR C","B",37,1.46445258037191,0.873985256190093,1.00067575340703,0.497891887107181,1.02761650781295,1.81282751626955,1.46346363983122,1.23872398803063,0.873471412782097,1.41816202557238,2.91304347826087,1,0.301029995663981,"Other species"
"CDR C","B",42,1.11248847043693,0.563889160919601,0.572905950702284,0.187035852503549,0.504736743983433,2.83721836006966,1.9418343780043,1.46110213734375,1.10295977647563,1.32471026460504,2.69565217391304,1,0.301029995663981,"Other species"
