"Year","group","value","Field"
2015,"Leymus chinensis",0.770115294787102,"Duolun (0 N)"
2016,"Leymus chinensis",1.26481782300954,"Duolun (0 N)"
2017,"Leymus chinensis",1.46164856806346,"Duolun (0 N)"
2018,"Leymus chinensis",1.44669246637153,"Duolun (0 N)"
2019,"Leymus chinensis",1.59417147911491,"Duolun (0 N)"
2021,"Leymus chinensis",0.193124598354462,"Duolun (0 N)"
2023,"Leymus chinensis",1.62951153420045,"Duolun (0 N)"
2014,"Stipa capillata",1.30189771719521,"Duolun (0 N)"
2015,"Stipa capillata",1.72771743315831,"Duolun (0 N)"
2016,"Stipa capillata",1.7266728848684,"Duolun (0 N)"
2017,"Stipa capillata",1.5476721686191,"Duolun (0 N)"
2018,"Stipa capillata",1.61278385671974,"Duolun (0 N)"
2019,"Stipa capillata",1.72781226763448,"Duolun (0 N)"
2020,"Stipa capillata",1.52949451843328,"Duolun (0 N)"
2021,"Stipa capillata",1.83877565309445,"Duolun (0 N)"
2022,"Stipa capillata",1.72513541317527,"Duolun (0 N)"
2023,"Stipa capillata",1.487326953197,"Duolun (0 N)"
