"Field","Trt","Plot","Scom","Spop","Asyn","CPE","SAE","Richness","Shannon","Inv.Simpson","Evenness.Shannon","Evenness.Simpson","Nitrogen","Nitrogen_log","Group"
"Duolun","F1",1,0.508837213127147,0.0167972675733297,0.492039945553818,-0.0539183452813105,0.545958290835128,15.7,2.37300502905237,6.97758865903758,0.652357064507543,0.183620754185199,0,0,"Overall"
"Duolun","F1",2,0.457249767790101,0.011808367043493,0.445441400746608,-0.0825210493393314,0.52796245008594,15.4,2.29497128418058,6.7688220104691,0.645498343478405,0.193394914584831,0,0,"Overall"
"Duolun","F1",3,0.385329986686418,0.0121076519151711,0.373222334771246,-0.13584516644408,0.509067501215326,15.5,2.32306029549752,7.11303272995574,0.658769935541511,0.209206844998698,0,0,"Overall"
"Duolun","F1",4,0.471122182952247,0.0208342241256372,0.450287958826609,-0.00536834925922846,0.455656308085838,14.3,2.11221749660689,5.51968910973513,0.594095840991174,0.157705403135289,0,0,"Overall"
"Duolun","F1",5,0.468596036665025,0.00774416314355882,0.460851873521466,-0.0779086942891646,0.538760567810631,15.1,2.37248600546518,6.89638672537902,0.652214380990398,0.181483861194185,0,0,"Overall"
"Duolun","F1",6,0.656283418824108,-0.0220498791202408,0.678333297944349,0.199170418163135,0.479162879781214,13.2,2.26020485703084,6.87553090955724,0.625936371778587,0.185825159717763,0,0,"Overall"
"Duolun","F2",7,0.398687948603067,-0.021877940508412,0.420565889111479,-0.0881771664847309,0.50874305559621,14.6,2.35263440553684,7.7760474305308,0.646757025739784,0.204632827119232,2,0.477121254719662,"Overall"
"Duolun","F2",8,0.42965815094877,0.026844622498069,0.402813528450701,-0.0812489522583508,0.484062480709052,15.7,2.25719259982903,6.82154609231767,0.6455563330406,0.20671351794902,2,0.477121254719662,"Overall"
"Duolun","F2",9,0.468875810929986,0.00685038333561183,0.462025427594375,-0.119140234824696,0.581165662419071,14.8,2.38195099830548,7.01148991806287,0.669962815766517,0.200328283373225,2,0.477121254719662,"Overall"
"Duolun","F2",10,0.480044416659659,-0.0135695266609947,0.493613943320654,-0.0263126502959107,0.519926593616564,14.4,2.34699422193842,7.25720028951653,0.654941207859103,0.201588896931015,2,0.477121254719662,"Overall"
"Duolun","F2",11,0.450907231015762,0.0468947418050984,0.404012489210663,-0.0383172159010503,0.442329705111714,14.2,2.0662882758147,5.34987520787838,0.596204769712974,0.167183600246199,2,0.477121254719662,"Overall"
"Duolun","F2",12,0.518075646680752,-0.0280950113728449,0.546170658053597,0.0623833593046618,0.483787298748936,15,2.21791353418684,6.58961849328951,0.614224301920699,0.178097797115933,2,0.477121254719662,"Overall"
"Duolun","F3",13,0.430217776363902,-0.0601169617806216,0.490334738144524,0.0406342094956122,0.449700528648912,15,2.22910928693796,6.53293819080654,0.612799034595412,0.171919426073856,8,0.954242509439325,"Overall"
"Duolun","F3",14,0.369899399615586,0.0249464983090187,0.344952901306568,-0.0319942232867899,0.376947124593358,12.7,1.85734715234908,4.55433019817394,0.531200668008876,0.138010006005271,8,0.954242509439325,"Overall"
"Duolun","F3",15,0.423598093135028,-0.0362873532858451,0.459885446420873,-0.0255674653757912,0.485452911796664,14.6,2.24989591436148,6.45168466481787,0.62784540921969,0.179213462911608,8,0.954242509439325,"Overall"
"Duolun","F3",16,0.303188698281191,-0.0194424515781142,0.322631149859305,-0.0420734953479687,0.364704645207274,13.4,1.90680882293214,4.64293056135729,0.555275459512967,0.149771953592171,8,0.954242509439325,"Overall"
"Duolun","F3",17,0.382652536403147,-0.0869487558400711,0.469601292243218,0.0701818179387276,0.39941947430449,13.7,1.97770749954136,4.95702029342601,0.570645760383448,0.154906884169563,8,0.954242509439325,"Overall"
