"Year","group","value","Field"
2014,"Leymus chinensis",0.734799829588847,"Duolun (max N)"
2015,"Leymus chinensis",0.547774705387823,"Duolun (max N)"
2016,"Leymus chinensis",1.91797788259291,"Duolun (max N)"
2017,"Leymus chinensis",1.40369233756113,"Duolun (max N)"
2018,"Leymus chinensis",1.30915090180959,"Duolun (max N)"
2019,"Leymus chinensis",2.36849886558316,"Duolun (max N)"
2020,"Leymus chinensis",1.87125176579102,"Duolun (max N)"
2021,"Leymus chinensis",2.36676838746722,"Duolun (max N)"
2022,"Leymus chinensis",1.67669360962487,"Duolun (max N)"
2023,"Leymus chinensis",1.86383815505288,"Duolun (max N)"
2014,"Stipa capillata",1.70945370557248,"Duolun (max N)"
2015,"Stipa capillata",2.0482553043426,"Duolun (max N)"
2016,"Stipa capillata",2.35159018706311,"Duolun (max N)"
2017,"Stipa capillata",2.16008318773018,"Duolun (max N)"
2018,"Stipa capillata",2.32958430457711,"Duolun (max N)"
2019,"Stipa capillata",1.99510845774474,"Duolun (max N)"
2020,"Stipa capillata",2.45301749203679,"Duolun (max N)"
2021,"Stipa capillata",2.30500006519369,"Duolun (max N)"
2022,"Stipa capillata",1.89551462586206,"Duolun (max N)"
2023,"Stipa capillata",1.16805530345914,"Duolun (max N)"
